Broker,Symbol,B_Qty,B_Price,Last_Buy,Qty,Action,Money_Required,Future_Avg,Status,
MP_Zerodha,ITCHOTELS,1,286.28,286,100,BUY,16890,170.06,A,
MP_Zerodha,FCL,41,268.72,269,100,BUY,21840,233.03,A,
MP_Zerodha,CLEAN,31,1442.55,1482,2,BUY,2382,1427.30,A,
MP_mStocks,DREAMFOLKS,100,266.12,266,10,BUY,2200,261.93,A,
MP_Zerodha,IDFCFIRSTB,60,61.53,57,20,BUY,1093,59.82,A,
MP_Upstox,ASTRAL,8,1,224.00,1224,5,BUY,6325,1239.79,A,
MP_Zerodha,ASTRAL,62,1803.06,1224,5,BUY,6325,1762.91,A,
MP_mStocks,BLSE,300,198.98,165,20,BUY,2954,195.78,A,

